"","DMD_1_H","DMD_2_H","DMD_3_H","DMD_4_H","DMD_5_H","DMD_6_H","DMD_7_H","DMD_8_H","DMD_9_H","DMD_10_H","DMD_11_H","DMD_12_H","NOR_1_H","NOR_2_H","NOR_3_H","NOR_4_H","NOR_5_H","NOR_6_H","NOR_7_H","NOR_8_H","NOR_9_H","NOR_10_H","NOR_11_H","NOR_12_H"
"ENSG00000142347",470.1,705.8,513.7,2187.6,1929,1761.9,413.2,1453,367.5,881.9,1275.5,341.3,299.5,220.1,200.5,298.2,293.7,308.8,190.3,1221.1,328.9,504,342.8,43.5
"ENSG00000156219",529.8,1787.7,1379.8,1692,682.5,1571.6,3790.3,1116,862,650.1,1374.8,1681.2,3471.1,7358.1,8058.3,4406,9037.2,3229.6,8201.9,5584,6652.3,6373.5,6874.2,128.3
"ENSG00000104957",885.7,840,482.3,743.6,986.6,779.9,906.8,678.2,477.2,221.6,1255.4,477.7,818.7,644.5,337.3,1233.9,1508.6,1521.8,857.6,1106.6,392.2,411.3,401.7,20.1
"ENSG00000101888",118.1,84.6,346.6,110.8,268.1,166.2,271.3,179.3,152.9,257.1,33.6,388.2,190.5,211.6,133,229.5,139.3,52,69.4,113.8,23.4,198,33.9,0.9
"ENSG00000101605",75400.2,116577.9,105466.8,156080.7,101728,80344.1,96670.6,98670.4,114127.9,100140,110643.9,117865.9,86404.1,99361.1,148984.6,86952,73737.7,99677.3,106667.1,144040.4,88136.4,119313.6,142154.4,3984.9
"ENSG00000105127",1404.8,1332.3,1013.2,1308.4,1186.8,854.5,1189.7,746.3,1001,640.5,1193.7,1025,1145.2,1098.1,1840.2,1149.4,1142,1469,861.3,1669,1148.5,1484.5,1543.4,42.5
"ENSG00000198105",602.8,696.9,469.1,978.9,728,790.6,597.1,476.6,798.2,892.2,1189.3,666.2,619.7,575.2,588.1,746.3,352.6,620,500,536.5,421,794.9,693.6,23.4
"ENSG00000104889",182.9,250.6,208.8,151.6,519.7,163.7,592.9,825.4,325.6,195.9,181,846.9,209.3,152.6,448.1,267,117.9,261.6,331.1,256.4,249.2,188.3,247.9,24.8
"ENSG00000113391",2650.4,2601.3,3489.4,2425.9,2125.5,2053.3,2526.4,2257.6,2731.5,4290.2,2136.3,2599.2,1174.4,1834.8,1200.2,1583.6,1370.7,1210.2,1492.5,1156.7,1765.5,1531.9,743.9,85
"ENSG00000197872",622.6,658.9,456,499,446,519.5,291.2,393.1,374.4,355.2,567.4,339.1,606.3,327.2,75.8,419.8,379.8,85,67.5,227.9,351.6,344.3,279.8,2.8
"ENSG00000100403",113.9,136.8,114.5,123.4,54.5,366.5,55.2,137.1,478.4,73.8,225,105.4,88.7,187,409.9,169.3,448.6,445,372.8,59.3,95.8,126.6,219.8,17.9
"ENSG00000070444",655.8,801.9,963.5,1262.7,1580.2,1365.6,711.9,696.9,988.1,1675.2,905.7,1070.8,1003.8,1352.3,1664.9,849.7,919,1226.2,1165.9,480.8,961.5,1219.4,775.2,39.1
"ENSG00000140682",1580.7,702.5,882.5,798.6,1230.2,984.5,1147.2,551.8,1174,865.2,1389.8,1126.2,1068.2,555.3,596.6,799.7,712.6,842.1,885.7,1201.3,1065.3,547.9,668.3,31.9
"ENSG00000126217",3717.8,2450.1,2477.9,2391.1,3314.5,2458.2,1965.9,2331.8,1814.7,1790.5,2289.3,2135.2,1612.8,2135.2,2018,2465.2,2900,1061.6,991.8,2064.6,2786.1,1221.7,1608.5,10.3
"ENSG00000105289",67.4,125.7,86.4,49.2,159.8,187.5,192.8,131.1,124.4,122.3,317.3,309.8,157,32.8,300.3,228.9,100.8,70.5,172,227.5,207.8,206.3,193.7,10.6
"ENSG00000101017",1726.25,1438.6,1483.8,1197.6,877.5,974.25,1563.8,1048.3,1292.6,1180,1548.55,1134.15,1392.95,1360.9,1191.25,1257.15,1549.6,1164.15,1119.1,1165.2,1423.95,1493.4,1149.25,39.55
"ENSG00000167797",4131.6,1702.9,1361,3082.7,2291.3,3186.3,2949.4,4455.7,2607.9,2669.4,2428.9,2825.5,2007.2,2199.7,1328.2,3074.2,2795.8,2747.4,2245.9,2230.1,3155.4,1710.3,2251.6,97.1
"ENSG00000122679",3293.5,2945.8,2830.2,3374,2692.9,1831.7,2616.6,2166.1,4334.8,5182.2,1800.8,3404.9,2094,2145.3,1722.6,1714.3,1677.5,2024,1743.9,2499.9,1943.6,2241.1,2097.7,89.6
"ENSG00000104320",1933.7,3242.6,3762.8,3120,3325.5,3171.4,2572,2025.2,3071.4,4229.2,2784.2,2938.8,2494.4,2998.4,3015.3,3645.9,2176.1,1755.7,2653.2,1528.6,2916,3358.2,3261.5,129
"ENSG00000133243",3563.25,2771.8,2632.9,1354.5,2143.15,2698.45,3420.1,2779.8,2582.7,1950.15,3327.45,2963.3,3754.2,2715.2,3088.25,4180.8,3602,3834.8,2065.05,5226.05,2640.05,2546.85,2313.35,110.35
"ENSG00000104679",3650.6,3348.5,3207.6,4055.3,3582.3,2992.6,2677.1,3219.4,2563.1,1953.8,4198.4,3552.9,2860.4,2151.8,3175.9,2268.2,2917.1,3519.4,2940.9,3829,2250.5,2288.3,3249.4,135
"ENSG00000108733",125.7,58.2,92.5,140.4,110.2,21.8,202.7,148,97.7,257.1,144.3,91.6,199.1,20,104.2,169.3,144,191.5,168.5,140.1,154.5,38,48.8,7.5
"ENSG00000282984",2053.1,2154.3,2421,3749.5,3742.9,2343.4,2209.4,3204.7,2577.8,2366,2667.4,2086,2430.1,2461.3,3106.5,2934.3,2392.1,2509.7,2767.5,2263.5,2570.1,4052.2,2945.9,110.5
"ENSG00000198728",1269.3,505.7,880.2,462.2,488.5,936,727.6,544.2,796.9,742.1,485.1,1057.2,1121.8,675.6,654.3,719.3,711.2,171.9,374.6,774.2,301.5,667,695,51.5
"ENSG00000185019",655.1,354,868.7,208.3,663.3,352.9,309.3,1072.6,980.4,766,243.8,982.1,397.5,967.7,636.4,598.8,175.5,270.8,676.2,1116.6,715.6,937.7,1352.4,12.4
"ENSG00000121989",608.7,414.8,518.5,596.4,362.7,479.1,645.1,377.7,436.3,582.1,575.2,383.4,523.4,438.9,664.5,573.7,234.6,322.9,478,346.6,528.3,540.9,674.6,19.2
"ENSG00000198815",2470.2,2631,2816.4,3691.8,3349.9,2423.1,2353.1,3693.4,3022.9,3969,2643.9,3313.9,3233.3,4448.5,4234.9,2864.4,4598.1,3532,4493,3494.4,3239.1,7122.1,5913.1,88.4
"ENSG00000109501",970,667.9,230.6,980.8,982,853.1,1065.7,776.1,379.3,697.7,1083.9,692.5,1216.3,1058.7,1081.8,985.5,1412.2,1404.7,1082.5,1366.4,1008.6,656.3,541.1,29.1
"ENSG00000125633",913.1,682.7,624.7,1181.5,986.8,668.3,978.3,1161.9,1134.3,969.4,737.9,908.8,579.2,943.7,1211.8,830.6,610.1,990,1159.5,1085.5,746.5,732.6,1047.4,22.1
"ENSG00000157538",1695.5,1607.3,1550.8,1997.9,2738.5,2163.3,1460.2,2059.7,1820.9,2048.2,1711.7,1482.6,1157.8,2946.3,1364.3,2239.2,3034.3,1903.6,2480.6,1388.3,2215.4,2160.3,2054.6,51.8
"ENSG00000145725",311.6,323.8,511.7,259.8,500.9,376.4,360.6,279.3,451.6,724.9,368,412.6,123.8,421,278.5,276.6,291.4,242.3,376,174.8,246.7,166.5,626.3,8
"ENSG00000084636",1344.35,764.2,545.75,805.2,925.65,971.3,1039.45,941.65,2439.95,1306.55,754.4,1481.1,477.2,486.75,309.3,462.7,375.7,344.95,258.9,277.5,348.2,539.95,477.75,4.7
"ENSG00000140400",2578.1,2315,1581.2,1924.3,1457.2,2040,2048.1,2264.2,1932.8,1340.3,1671.4,1875.2,2556.3,1898.9,1485.9,1704,2110.5,2181.9,1601,3076.5,1764.5,1652.8,2413,59.6
"ENSG00000021574",250.4,403.9,466.8,363.8,505.8,456.9,285.5,356.7,359.1,588.2,315.7,536.3,316.6,490.2,254.6,288,473.9,534.9,356.7,232.3,289.1,479.7,451.5,17.6
"ENSG00000128294",1135.3,1218.6,1037.3,889.5,856.7,1134.7,917.2,807.7,1403.5,1088.9,965.3,1008.5,1510.8,1362.6,1577.9,967.2,2280.7,1047.4,898.7,1031.4,1351.2,1422.4,1790.1,42.6
